ID,RED,IR,RED 4xS,IR 4xS
206,231078,243272,230985,243150
207,230906,243102,230962,243171.5
208,230937,243067,231014,243265
209,231020,243159,231055,243340.75
210,230983,243358,231073,243417.25
211,231116,243476,231083,243432.75
212,231101,243370,231058,243423.5
213,231090,243465,231070,243484
214,231025,243420,231145,243580.25
215,231014,243439,231276,243707.75
216,231152,243612,231404,243864.5
217,231387,243850,231453,243975.25
218,231551,243930,231423,243972.5
219,231525,244066,231421,244029.25
220,231350,244055,231440,244074
221,231266,243839,231478,244128.75
222,231544,244157,231521,244234.25
223,231598,244245,231517,244276.25
224,231505,244274,231523,244314.25
225,231438,244261,231572,244394.25
226,231527,244325,231650,244476
227,231620,244397,231597,244380.75
228,231702,244594,231448,244138
229,231750,244588,231267,243782.25
230,231315,243944,231045,243407.5
231,231024,243426,230882,243146
232,230977,243171,230830,243020.75
233,230862,243089,230797,242985.75
234,230664,242898,230756,242980.25
235,230817,242925,230790,242999.5
236,230844,243031,230805,243055.5
237,230700,243067,230798,243121
238,230798,242975,230827,243180.25
239,230876,243149,230886,243323.75
240,230818,243293,230947,243447
241,230814,243304,230986,243557.75
242,231036,243549,231033,243632.5
243,231118,243642,231026,243657.25
244,230977,243736,230994,243687
245,231000,243603,231001,243693
246,231008,243648,231006,243736.5
247,230990,243761,231034,243801.25
248,231007,243760,231055,243870.75
249,231020,243777,231100,243957.25
250,231119,243907,231110,244033
251,231072,244039,231104,244090.5
252,231190,244106,231155,244159.75
253,231058,244080,231128,244108.25
254,231096,244137,231056,243929
255,231274,244316,230942,243659.5
256,231082,243900,230769,243322
257,230773,243363,230631,243066.5
258,230637,243059,230576,242958.5
259,230583,242966,230553,242938
260,230532,242878,230513,242930.25
261,230550,242931,230516,242973.75
262,230548,242977,230568,243055.25
263,230423,242935,230616,243156.75
264,230544,243052,230690,243267
265,230758,243257,230701,243357
266,230740,243383,230707,243404.75
267,230716,243376,230738,243459
268,230591,243412,230810,243531.75
269,230781,243448,230866,243588
270,230864,243600,230849,243634.75
271,231003,243667,230823,243645.25
272,230816,243637,230789,243648.75
273,230714,243635,230853,243695
274,230760,243642,230954,243789
275,230867,243681,230989,243885.75
276,231070,243822,230939,243933.25
277,231119,244011,230813,243903.5
278,230900,244029,230816,243904.75
279,230668,243871,230846,243938.25
280,230563,243703,230784,243816.75
281,231133,244016,230714,243600
282,231019,244163,230529,243322.5
283,230420,243385,230364,243018.75
284,230282,242836,230307,242878.25
285,230393,242906,230295,242835
286,230360,242948,230234,242777.5
287,230192,242823,230200,242744.5
288,230235,242663,230252,242741.75
289,230148,242676,230296,242865.75
290,230225,242816,230373,242995.75
291,230399,242812,230418,243071
292,230413,243159,230457,243170.75
293,230455,243196,230520,243234.25
294,230403,243117,230565,243302
295,230558,243211,230622,243381
296,230662,243413,230636,243440.5
297,230637,243467,230624,243473.25
