ID,RED,IR,RED 4xS,IR 4xS
326,231062,248212,231237,248337
327,231325,248121,231342,248455
328,231432,248640,231395,248675
329,231130,248376,231393,248728
330,231479,248684,231531,248902
331,231537,248998,231577,249055
332,231424,248855,231573,249086
333,231683,249071,231655,249247
334,231663,249294,231674,249345
335,231522,249122,231581,249158
336,231753,249502,231321,248537
337,231759,249462,230961,247705
338,231291,248544,230600,246945
339,230482,246639,230386,246432
340,230313,246174,230392,246414
341,230314,246422,230465,246597
342,230435,246492,230560,246764
343,230504,246567,230650,246955
344,230606,246907,230715,247136
345,230694,247090,230778,247286
346,230794,247257,230865,247469
347,230766,247290,230930,247668
348,230856,247506,231029,247916
349,231042,247822,231140,248130
350,231056,248053,231203,248308
351,231161,248284,231248,248441
352,231301,248361,231316,248545
353,231293,248532,231360,248666
354,231237,248587,231376,248756
355,231431,248698,231473,248901
356,231480,248848,231526,249046
357,231354,248890,231549,249166
358,231626,249167,231619,249310
359,231644,249279,231649,249384
360,231571,249326,231675,249467
361,231633,249469,231637,249366
362,231748,249461,231417,248799
363,231746,249611,231023,248037
364,231422,248922,230731,247350
365,230752,247201,230562,246914
366,230173,246413,230471,246863
367,230577,246862,230689,247161
368,230744,247181,230649,247336
369,230390,246996,230754,247580
370,231046,247604,230807,247696
371,230416,247562,230862,247910
372,231162,248159,230965,248007
373,230602,247458,231042,248181
374,231266,248460,231098,248411
375,230831,247952,231169,248553
376,231467,248852,231208,248695
377,230829,248379,231247,248792
378,231550,249028,231293,248870
379,230986,248520,231311,248974
380,231622,249242,231346,249071
381,231015,248689,231329,249128
382,231619,249444,231457,249345
383,231128,248909,231391,249344
384,231552,249468,231528,249537
385,231527,249559,231528,249637
386,231356,249440,231443,249496
387,231677,249680,231265,249045
388,231552,249868,230966,248451
389,231185,248994,230705,247834
390,230644,247637,230583,247505
391,230482,247303,230579,247563
392,230508,247402,230665,247752
393,230696,247676,230762,247944
394,230630,247870,230804,248048
395,230824,248061,230861,248135
396,230896,248167,230912,248226
397,230865,248095,230956,248367
398,230859,248215,231031,248542
399,231029,248426,231114,248706
400,231069,248733,231182,248858
401,231166,248794,231236,248947
402,231193,248869,231263,249048
403,231299,249034,231306,249155
404,231284,249089,231335,249265
405,231276,249201,231344,249317
406,231365,249295,231399,249433
407,231416,249474,231435,249564
408,231317,249299,231480,249626
409,231499,249664,231476,249630
410,231508,249819,231237,249139
411,231597,249721,230974,248491
412,231299,249315,230681,247894
413,230544,247702,230507,247465
414,230455,247227,230489,247426
415,230425,247332,230545,247600
416,230603,247599,230645,247833
417,230471,247547,230674,247972
418,230681,247922,230749,248147
419,230823,248264,230829,248289
420,230720,248153,230862,248366
421,230770,248250,230935,248518
422,231001,248487,230994,248651
423,230955,248574,231060,248798
424,231012,248762,231120,248942
425,231008,248782,231122,249015
426,231265,249073,231157,249128
427,231193,249151,231163,249203
428,231023,249054,231223,249335
429,231147,249232,231299,249484
430,231287,249374,231340,249575
431,231433,249679,231371,249646
432,231330,249652,231391,249673
433,231308,249593,231460,249758
434,231411,249660,231492,249814
435,231515,249785,231303,249511
436,231605,249995,230966,248863
437,231436,249814,230674,248208
438,230654,248449,230412,247681
439,230169,247195,230339,247388
440,230436,247372,230454,247575
441,230390,247707,230441,247703
442,230362,247277,230529,247783
443,230628,247945,230592,248024
444,230382,247884,230606,248070
445,230742,248024,230739,248245
446,230615,248243,230769,248413
447,230684,248128,230874,248545
448,230915,248584,230942,248759
449,230862,248697,230987,248846
450,231034,248771,231040,248947
451,230957,248985,231056,249050
452,231096,248929,231093,249108
453,231072,249101,231141,249233
454,231100,249184,231168,249317
455,231103,249216,231204,249399
456,231289,249429,231271,249523
457,231181,249440,231311,249618
458,231244,249510,231335,249684
459,231371,249712,231395,249771
460,231449,249810,231363,249701
461,231274,249704,231079,249159
462,231486,249857,230778,248457
463,231241,249434,230462,247818
464,230314,247640,230240,247303
465,230071,246896,230238,247248
466,230222,247302,230320,247407
467,230351,247375,230376,247555
468,230306,247420,230394,247644
469,230401,247531,230470,247800
470,230447,247894,230524,247933
471,230423,247731,230605,248054
472,230610,248044,230663,248250
473,230616,248062,230743,248439
474,230771,248377,230828,248651
475,230654,248517,230825,248758
476,230929,248800,230914,248903
477,230958,248909,230918,249011
478,230757,248805,230909,249076
479,231011,249096,230997,249230
480,230946,249233,230981,249312
481,230923,249171,231074,249401
482,231108,249419,231083,249526
483,230946,249424,231125,249594
484,231317,249589,231215,249737
485,230959,249670,231058,249599
486,231278,249691,230922,249102
487,231304,249998,230615,248470
488,230690,249035,230273,247790
489,230417,247684,230127,247351
490,230048,247162,230133,247393
491,229938,247277,230158,247544
492,230105,247281,230316,247770
493,230439,247853,230387,247992
494,230148,247765,230363,248005
495,230571,248180,230522,248218
496,230390,248168,230467,248264
497,230341,247905,230572,248415
498,230784,248620,230664,248665
499,230351,248362,230633,248724
500,230811,248773,230748,248878
501,230709,248904,230767,248983
502,230661,248855,230808,249089
503,230811,248979,230862,249175
504,230887,249195,230931,249320
505,230874,249326,230952,249379
506,230875,249198,231031,249493
507,231088,249562,231061,249607
508,230971,249430,230959,249400
509,231189,249782,230707,248880
510,230995,249653,230402,248205
511,230681,248736,230173,247661
512,229962,247350,230008,247355
513,229969,247080,230073,247427
514,230079,247478,230164,247692
515,230021,247512,230235,247849
516,230222,247637,230326,248001
517,230332,248142,230363,248142
518,230365,248104,230431,248229
519,230383,248121,230503,248354
520,230370,248199,230565,248524
521,230604,248493,230653,248681
522,230653,248604,230681,248808
523,230631,248801,230720,248962
524,230723,248824,230758,249041
525,230718,249004,230781,249157
526,230809,249219,230855,249266
527,230780,249117,230884,249362
528,230815,249286,230951,249533
529,231016,249440,230988,249640
530,230926,249606,230912,249506
531,231047,249799,230935,249566
532,230964,249713,230856,249421
533,230709,248904,230606,248855
534,231019,249847,230383,248354
535,230732,249219,230086,247663
536,229964,247451,229890,247177
537,229818,246897,229828,247091
538,229828,247086,229941,247298
539,229949,247274,230002,247481
540,229717,247106,230096,247625
541,230271,247727,230224,247886
542,230071,247818,230180,247962
543,230326,247849,230311,248118
544,230229,248149,230327,248330
545,230095,248031,230354,248404
546,230595,248441,230516,248602
547,230390,248698,230524,248740
548,230337,248447,230519,248778
549,230743,248823,230631,248914
550,230625,248993,230663,249060
551,230370,248850,230633,249094
552,230787,248989,230820,249285
553,230871,249409,230812,249437
554,230505,249129,230841,249464
555,231115,249613,231005,249662
556,230757,249597,230959,249748
557,230988,249516,230976,249711
558,231159,249921,230855,249481
559,230930,249957,230456,248736
560,230827,249451,230146,247929
561,230502,248596,229884,247403
562,229565,246939,229680,247031
563,229689,246731,229778,247179
564,229779,247344,229850,247441
565,229686,247110,229902,247538
566,229959,247529,230027,247755
567,229977,247782,230058,247883
568,229987,247732,230116,247982
569,230186,247977,230206,248186
570,230080,248040,230236,248342
571,230212,248177,230328,248514
572,230347,248551,230390,248683
573,230304,248598,230403,248764
574,230447,248729,230494,248885
575,230462,248852,230525,248997
576,230400,248875,230565,249097
577,230666,249085,230667,249260
578,230571,249175,230674,249358
579,230621,249252,230727,249445
580,230808,249529,230753,249574
581,230695,249474,230761,249629
582,230785,249523,230659,249448
583,230724,249770,230379,248840
584,230839,249750,230082,248123
585,230286,248747,229813,247532
586,229668,247091,229692,247189
587,229534,246902,229754,247330
588,229763,247387,229844,247571
589,229802,247377,229906,247732
590,229917,247655,229927,247872
591,229892,247865,229960,248014
592,230014,248032,230015,248139
593,229883,247937,230049,248241
594,230051,248221,230157,248433
595,230112,248367,230233,248582
596,230148,248437,230270,248722
597,230316,248707,230332,248854
